id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,content_status,wd_linked,notes
569,plants_fungi,vol1,Стълбчеста аубриета,Aubrieta columnae subsp. pirinica,EN,no,,Q30107841,http://e-ecodb.bas.bg/rdb/bg/vol1/Aubcolum.html,Стълбчеста аубриета,Aubrieta columnae subsp. pirinica,пиринска аубриета,Aubrieta columnae subsp. pirinica,todo,,
570,plants_fungi,vol1,Субалпийски спореж,Senecio subalpinus,CR,no,,Q3805815,http://e-ecodb.bas.bg/rdb/bg/vol1/Sensubal.html,Субалпийски спореж,Senecio subalpinus,Jacobaea subalpina,Jacobaea subalpina,todo,,
571,plants_fungi,vol1,Сусамовиден клин,Astragalus sesameus,EN,no,,Q12232243,http://e-ecodb.bas.bg/rdb/bg/vol1/Astsesam.html,Сусамовиден клин,Astragalus sesameus,Astragalus sesameus,Astragalus sesameus,todo,,
572,plants_fungi,vol1,Сфагнова галерина,Galerina sphagnorum,EN,no,,Q4132375,http://e-ecodb.bas.bg/rdb/bg/vol1/Galsphag.html,Сфагнова галерина,Galerina sphagnorum,Сфагнова галерина,Galerina sphagnorum,todo,,
573,plants_fungi,vol1,Съждивосив болетопсис,Boletopsis leucomelaena,CR,no,,Q10508078,http://e-ecodb.bas.bg/rdb/bg/vol1/Bolleuco.html,Съждивосив болетопсис,Boletopsis leucomelaena,Саждивосив болетопсис,Boletopsis leucomelaena,todo,,
574,plants_fungi,vol1,Съчленен коринефорус,Corynephorus divaricatus,CR,no,,Q15514536,http://e-ecodb.bas.bg/rdb/bg/vol1/Cordivar.html,Съчленен коринефорус,Corynephorus divaricatus,Corynephorus divaricatus,Corynephorus divaricatus,todo,,
575,plants_fungi,vol1,Тамянка,Cistus salvifolius,EN,yes,https://bg.wikipedia.org/wiki/Тамянка,Q136801,http://e-ecodb.bas.bg/rdb/bg/vol1/Cissalvi.html,Тамянка,Cistus salvifolius,Cistus salviifolius,Cistus salviifolius,todo,,
576,plants_fungi,vol1,Тасоска звъника,Hypericum thasium,VU,no,,Q17812805,http://e-ecodb.bas.bg/rdb/bg/vol1/Hypthasi.html,Тасоска звъника,Hypericum thasium,тасоска звъника,Hypericum thasium,todo,,
577,plants_fungi,vol1,Татарска салата,Lactuca tatarica,EN,no,,Q2395449,http://e-ecodb.bas.bg/rdb/bg/vol1/Lactatar.html,Татарска салата,Lactuca tatarica,татарска салата,Lactuca tatarica,todo,,
578,plants_fungi,vol1,Татарско диво зеле,Crambe tataria,EN,no,,Q303512,http://e-ecodb.bas.bg/rdb/bg/vol1/Cratatar.html,Татарско диво зеле,Crambe tataria,татарско диво зеле,Crambe tataria,todo,,
579,plants_fungi,vol1,Твърдолистна песъчарка,Arenaria rigida,CR,no,,Q95922765,http://e-ecodb.bas.bg/rdb/bg/vol1/Arerigid.html,Твърдолистна песъчарка,Arenaria rigida,Arenaria rigida,Arenaria rigida,todo,,
580,plants_fungi,vol1,Текирска мишорка,Gypsophila tekirae,CR,yes,https://bg.wikipedia.org/wiki/Текирска_мишорка,Q12296123,http://e-ecodb.bas.bg/rdb/bg/vol1/Gyptekir.html,Текирска мишорка,Gypsophila tekirae,Gypsophila tekirae,Gypsophila tekirae,todo,,
581,plants_fungi,vol1,Тесалийска мантийка,Petrorhagia thessala,EN,no,,Q15572802,http://e-ecodb.bas.bg/rdb/bg/vol1/Petthess.html,Тесалийска мантийка,Petrorhagia thessala,тесалийска мантийка,Petrorhagia thessala,todo,,
582,plants_fungi,vol1,Теснолист божур,Paeonia tenuifolia,EN,yes,https://bg.wikipedia.org/wiki/Теснолист_божур,Q2664631,http://e-ecodb.bas.bg/rdb/bg/vol1/Paetenui.html,Теснолист божур,Paeonia tenuifolia,теснолист божур,Paeonia tenuifolia,todo,,
583,plants_fungi,vol1,Тимотейкова детелина,Trifolium phleoides,CR,no,,Q15544399,http://e-ecodb.bas.bg/rdb/bg/vol1/Triphleo.html,Тимотейкова детелина,Trifolium phleoides,Trifolium phleoides,Trifolium phleoides,todo,,
584,plants_fungi,vol1,Тинеста острица,Carex limosa,EN,no,,Q159734,http://e-ecodb.bas.bg/rdb/bg/vol1/Carlimos.html,Тинеста острица,Carex limosa,тинеста острица,Carex limosa,todo,,
585,plants_fungi,vol1,Томасиниев минзухар,Crocus tommasinianus,VU,yes,https://bg.wikipedia.org/wiki/Томасиниев_минзухар,Q159271,http://e-ecodb.bas.bg/rdb/bg/vol1/Crotomma.html,Томасиниев минзухар,Crocus tommasinianus,томасиниев минзухар,Crocus tommasinianus,todo,,
586,plants_fungi,vol1,Торен циатус,Cyathus stercoreus,EN,no,,Q1265642,http://e-ecodb.bas.bg/rdb/bg/vol1/Cyasterc.html,Торен циатус,Cyathus stercoreus,Торен циатус,Cyathus stercoreus,todo,,
587,plants_fungi,vol1,Торфена галерина,Galerina paludosa,EN,no,,Q4132374,http://e-ecodb.bas.bg/rdb/bg/vol1/Galpalud.html,Торфена галерина,Galerina paludosa,Торфена галерина,Galerina paludosa,todo,,
588,plants_fungi,vol1,Торфена фолиота,Pholiota myosotis,EN,no,,Q54371248,http://e-ecodb.bas.bg/rdb/bg/vol1/Phomyoso.html,Торфена фолиота,Pholiota myosotis,Phaeonematoloma myosotis,Phaeonematoloma myosotis,todo,,
589,plants_fungi,vol1,Торфено псилоцибе,Psilocybe uda,EN,no,,Q108301490,http://e-ecodb.bas.bg/rdb/bg/vol1/Psiuda.html,Торфено псилоцибе,Psilocybe uda,Psilocybe uda,Psilocybe uda,todo,,
590,plants_fungi,vol1,Тракийска власатка,Festuca thracica,EN,no,,Q15478583,http://e-ecodb.bas.bg/rdb/bg/vol1/Festhrac.html,Тракийска власатка,Festuca thracica,тракийска власатка,Festuca thracica,todo,,
591,plants_fungi,vol1,Тракийска класица,Alopecurus thracicus,CR,yes,https://bg.wikipedia.org/wiki/Тракийска_класица,Q15503696,http://e-ecodb.bas.bg/rdb/bg/vol1/Alothrac.html,Тракийска класица,Alopecurus thracicus,тракийска класица,Alopecurus creticus,todo,,
592,plants_fungi,vol1,Тракийска овчарска торбичка,Capsella bursa-pastoris subsp. thracica,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Capbursa.html,Тракийска овчарска торбичка,Capsella bursa-pastoris subsp. thracica,,,todo,,WD: no candidate
593,plants_fungi,vol1,Тракийски дъб,Quercus thracica,CR,yes,https://bg.wikipedia.org/wiki/Тракийски_дъб,Q157277,http://e-ecodb.bas.bg/rdb/bg/vol1/Quethrac.html,Тракийски дъб,Quercus thracica,цер,Quercus cerris,todo,,
594,plants_fungi,vol1,Тракийски клин,Astracantha thracica,VU,no,,Q15507123,http://e-ecodb.bas.bg/rdb/bg/vol1/Astthrac.html,Тракийски клин,Astracantha thracica,тракийски клин,Astracantha thracica,todo,,
595,plants_fungi,vol1,Тракийски магарешки бодил,Carduus thracicus,VU,no,,Q29107233,http://e-ecodb.bas.bg/rdb/bg/vol1/Carthrac.html,Тракийски магарешки бодил,Carduus thracicus,тракийски магарешки бодил,Carduus thracicus,todo,,
596,plants_fungi,vol1,Тракийски равнец,Achillea thracica,CR,yes,https://bg.wikipedia.org/wiki/Тракийски_равнец,Q19426738,http://e-ecodb.bas.bg/rdb/bg/vol1/Achthrac.html,Тракийски равнец,Achillea thracica,тракийски равнец,Achillea thracica,todo,,
